prompt_id,prompt_title,shot_index,start_sec,end_sec,title,visual_action,camera,audio,continuity
1,奇幻海盗舰队大战利维坦,1,0,3,巨兽破海毁舰,巨兽拖着水墙冲出海面，咬断侧翼护卫舰；船长抓断绳摆荡离舰。,从巨兽低角度切到倾斜甲板追踪，再沿摆荡弧线跟随。,巨浪、木船断裂、帆索绷紧。,船长造型与旗舰方位保持一致。
1,奇幻海盗舰队大战利维坦,2,3,6,索具追逐与舷炮齐射,船长在横桁、前桅和帆索间疾驰，巨兽三次撕咬落空，舷炮轰击颈部。,摇摆视角与横向跟踪交替，加入逆光轮廓。,炮火齐射、帆布撕裂、巨兽尖啸。,动作路径可追踪，三次攻击因果清晰。
1,奇幻海盗舰队大战利维坦,3,6,9,登上巨兽,船长落上巨兽颈部鳞片，奔跑刺击、侧滚并刺入骨冠底部，随后借绳荡回船。,手持脊背跟拍，随巨兽翻滚，末尾快速拉远。,鳞片摩擦、绿色磷光爆裂、咆哮。,细剑位置、鳞片损伤和绳索来源连续。
1,奇幻海盗舰队大战利维坦,4,9,12,水下伏击与逃亡,巨兽从另一侧跃出并掀翻两舰，旗舰掠过漩涡和暗礁逃向风暴。,破坏全景后横向追踪舰队航线。,短暂死寂后爆发水下冲击、船体折断。,舰队剩余船只数量与受损状态延续。
1,奇幻海盗舰队大战利维坦,5,12,15,冲入风暴眼,旗舰冲入雷云，巨兽从船尾逼近；船长举剑，舰队齐射，闪电中定格。,船尾楼中景逐步拉远，最终闪电定格。,雷鸣、炮火、海浪与命令声叠加。,高潮延续追逐，不突然切换地点。
2,水豚噜噜厨房倒盐恶作剧,1,0,3,整罐倒盐,水豚把整罐真实白盐倒入翻炒牛肉和青菜的铁锅，堆成盐山。,第一人称俯视中近景。,滋滋声、盐粒沙沙声。,盐粒遵守真实颗粒、重力和碰撞。
2,水豚噜噜厨房倒盐恶作剧,2,3,5,夺罐敲头,真人夺走盐罐并用锅铲轻敲一次，二维红色肿包弹出。,同方向稍近构图，快速硬切。,金属 Duang 与弹簧音。,小橘子保留，肿包位于其旁边。
2,水豚噜噜厨房倒盐恶作剧,3,5,8,爆哭与塞盐,二维蓝色泪水喷泉；真人铲起盐和青菜送到嘴前，水豚腮帮鼓起。,保持同一构图。,爆哭、刮盐、啵。,锅铲不穿透角色，泪水保持 2D。
2,水豚噜噜厨房倒盐恶作剧,4,8,10,齁到倒地,水豚脸红、褪白、X 眼，纸片式后仰倒下，星星与灵魂白烟出现。,末 0.3 秒定格。,咕咚、咯噔、咚、滑稽收尾音。,橘子和肿包保留，褪白不改变角色结构。
3,山地烧烤 Vlog：猫头鹰偷肉,1,0,3,猫头鹰偷肉,猫头鹰跳上烤架边缘，撕下一大块熟牛肉塞进口中，肉屑和油花飞溅。,第一人称俯视。,木炭滋滋、兴奋叫声、撕肉声。,角色仅为牛肉约三分之一大小。
3,山地烧烤 Vlog：猫头鹰偷肉,2,3,5,指关节敲头,真人手轻敲猫头鹰脑袋，红色二维肿包弹出，身体上下弹跳。,同一空间关系的近景。,清脆咚声与弹簧声。,无真实伤害，肿包后续保留。
3,山地烧烤 Vlog：猫头鹰偷肉,3,5,7,生气跺脚,猫头鹰捂包、鼓腮、撅嘴、羽毛竖起并纸片式跺脚。,保持构图，突出表情。,哼声与咚咚跺脚。,嘴里仍有少量肉丝。
3,山地烧烤 Vlog：猫头鹰偷肉,4,7,10,攻击真人手,眼中闪火，猫头鹰扑到手上啄手指并拍打手背，最终定格。,近距离动作跟随。,快速叫声、啄击、拍翅与冲击音。,贴纸粘附关系稳定，红色肿包仍在。
4,单指局部时间冻结：城市广场,1,0,7,建立活着的广场,鸽群啄食和走动，游客、婴儿车与远处人物持续穿行，建立正常时间。,自然手持广角建立镜头，缓慢前进。,脚步、城市底噪、鸽叫和振翅。,所有可见元素先有明确运动，便于后续对比。
4,单指局部时间冻结：城市广场,2,7,13,锁定目标与伸手,镜头靠近一名正在行走或转身的目标，食指从前景伸入并对准目标。,从广角过渡到中近景，保持目标与背景同框。,环境音持续。,目标身份、服装和运动方向清晰。
4,单指局部时间冻结：城市广场,3,13,15,触碰精确触发,指尖接触的精确一帧，只有目标停在动作中段，身体重心和衣物同时锁定。,稳定展示接触点，不用硬切。,可加入极轻微低频触发音。,禁止全画面暂停；背景运动连续。
4,单指局部时间冻结：城市广场,4,15,29,证明局部冻结,目标完全静止；鸽子继续走动或起飞，行人从前后穿过，婴儿车继续移动。,缓慢横移并绕目标形成视差。,城市与鸽群声音不间断。,目标不眨眼、不漂移、不呼吸式摆动；其他一切正常。
4,单指局部时间冻结：城市广场,5,29,36,长时间物理保持,从另一角度观察被冻结姿态，移动阴影和穿行人群进一步证明时间只锁定目标。,中景绕行后轻微拉近细节。,真实环境音。,接触后姿态、衣褶和发丝精确保持。
4,单指局部时间冻结：城市广场,6,36,40,二次触碰释放,食指再次触碰，目标从精确冻结姿势恢复原有速度和未完成动作。,镜头保持连续，清楚看到动量恢复。,轻微释放提示音后环境音不变。,不能瞬移或从新姿势重新开始。
4,单指局部时间冻结：城市广场,7,40,43.285,融回人群,目标继续离开或融入人群，鸽子仍在活动，广场保持自然。,稍宽收尾镜头。,自然城市声收尾。,不加入解释性文字或魔法残留。
5,AI 外国人探店：暖色串烧餐厅广告,1,0,2.5,进入餐厅,同一名外国游客从街边走近并自然进入串烧餐厅。,稳定器中广角轻跟拍。,街道与门店环境声、轻快音乐起。,人物外形和服装首次锁定。
5,AI 外国人探店：暖色串烧餐厅广告,2,2.5,5.5,观察与点单,游客坐在木质吧台旁，观察菜单和开放式烤台，与店员自然点头交流。,肩后中景与正侧面中近景。,低声交谈与餐厅底噪。,保持餐厅方向、视线和座位一致。
5,AI 外国人探店：暖色串烧餐厅广告,3,5.5,9,炭火制作蒙太奇,肉串翻面、油脂冒泡、撒孜然辣椒、刷酱并短促起火，形成焦化表面。,微距特写、浅景深、低角度掠过烤架。,炭火滋滋、撒料和刷酱声。,食物与火焰遵守真实物理。
5,AI 外国人探店：暖色串烧餐厅广告,4,9,12.5,品尝与认可,烤串上桌，游客自然品尝，停顿后露出含蓄惊喜并轻轻点头。,人物与食物同框中近景，补手部和烤串特写。,盘子落桌、轻微咀嚼与环境声。,脸部、手指、竹签和咀嚼动作稳定。
5,AI 外国人探店：暖色串烧餐厅广告,5,12.5,15.168,烤串英雄镜头,焦香肉串铺满深色陶盘，搭配青椒和蒜瓣；油亮焦边与香料颗粒清晰。,低角度缓慢横移并轻推近，暖色背景散景。,突出滋滋声，音乐简洁收尾。,餐盘、桌面和食物形态保持稳定，不生成文字。
6,夏祭射击摊：大熊奖品反弹与友情代打,1,0,4.5,击倒轻小奖品,浅金发女孩瞄准下层数字盒，软木塞带倒多个纸盒，盒子依次倾斜翻落。,枪管主观近景、三人侧面中景与奖品架正面镜头。,软木枪轻响、纸盒连续翻落、夏祭底噪。,射击方向与盒子倒落方向一致，奖品架结构不变。
6,夏祭射击摊：大熊奖品反弹与友情代打,2,4.5,6.5,自信转向大熊,女孩因命中微笑，抬高枪口锁定上层马卡龙之间的泰迪熊。,表情中近景切泰迪熊瞄准关系镜头。,轻快配乐持续，环境声不间断。,泰迪熊位置、大小和周围马卡龙布局锁定。
6,夏祭射击摊：大熊奖品反弹与友情代打,3,6.5,10.5,软木塞反弹撞额头,软木塞压入熊的柔软腹部后弹回，轻撞女孩额头；她出现红色旋涡怒气符号。,绒毛受击微距、反向飞行特写、女孩反应特写。,命中噗声、弹回滑稽音和轻微碰头声。,熊第一枪不倒；反弹方向必须与入射轴线相反。
6,夏祭射击摊：大熊奖品反弹与友情代打,4,10.5,16.5,再次挑战与同伴接枪,女孩不服气地重新瞄准，两位同伴同框；尝试后蓝发少女平稳接过木枪。,正面三人中景、眼睛与枪身紧张特写。,短暂停顿、配乐蓄势、摊位环境声。,角色站位、浴衣与木枪外形连续，交接动作清楚。
6,夏祭射击摊：大熊奖品反弹与友情代打,5,16.5,19.5,蓝发少女精准代打,蓝发少女冷静射中熊腹中心，出现圆形命中点，泰迪熊停顿后向前翻倒。,奖品架正面中景与命中近景。,软木枪声、命中闷声、玩偶落架声。,严格按命中、停顿、翻倒顺序；周围奖品只轻微受扰。
6,夏祭射击摊：大熊奖品反弹与友情代打,6,19.5,22.5,领奖并送给主角,摊主递出泰迪熊，蓝发少女接过后送到浅金发女孩怀里，粉发少女微笑见证。,三人背面中景切正面关系镜头。,人群底噪、温柔配乐上扬。,玩偶从摊主到蓝发少女再到主角，交接顺序不可跳变。
6,夏祭射击摊：大熊奖品反弹与友情代打,7,22.5,25.708,抱熊满足收尾,三人并肩离开，浅金发女孩抱紧泰迪熊，最后闭眼露出满足笑容。,并肩中景后切女孩与熊的温暖近景。,轻快温柔配乐与远处夏祭声收尾。,蓝发少女仍拿红色丸子；女孩始终抱着同一只熊。
7,AS-004 Mira Quill：Draw the Way,1,0,2,庭院被擦除,庭院地面化为白色虚空并冲向 Mira 的靴子。,极近景，铅笔刮擦式快速推入。,尖锐橡皮擦嘶声。,石墨暖纸媒介稳定，擦除边界清楚。
7,AS-004 Mira Quill：Draw the Way,2,2,5,奔离消失区,Mira 从左向右奔跑，拱门和纸飘带在身后被擦掉。,宽幅横向跟拍。,急促干涩打击乐。,外套与挎包有连续跟随动作。
7,AS-004 Mira Quill：Draw the Way,3,5,8,释放 Aeroseed,Mira 在断裂边缘滑停并甩出挎包，赭色 Aeroseed 飞出。,中景侧面，镜头与角色同时停住。,刮擦、心跳、明亮提示音。,动作结束点和道具来源明确。
7,AS-004 Mira Quill：Draw the Way,4,8,12,画线成桥,Mira 跃起，Aeroseed 画出粗石墨线；线在每次落脚下变成桥并向外重绘庭院。,低角度跟拍。,打击乐达到峰值。,桥梁在脚落下前形成，重绘方向可读。
7,AS-004 Mira Quill：Draw the Way,5,12,15,庭院完成重建,Mira 以稳定三分之四姿态落地，最后一座拱门完成，石墨鸟从纸面飞起。,起重机后拉至大全景。,音乐在一次铅笔轻点上解决。,以完整可读英雄帧结束。
